729907894217543680	2016-05-10 05:36:17	davidpiprof	Morning woke up was tough. I would most likely continue sleeping. I need to go to the bed earlier today to sleep little bit longer. #n #xfb
729918287706984448	2016-05-10 06:17:35	davidpiprof	Walk to train station wasn't so bad and hurry today. It's raining today a bit, but nicely. What matters I forgot the breakfast. #p #xfb
729930036367794176	2016-05-10 07:04:16	davidpiprof	What a good status. We were laughing a colleague about lobby for the new feature. I look forward to have Madeleine for breakfast. #p #xfb
729940678764056580	2016-05-10 07:46:34	davidpiprof	Redrawing the design description diagram. It's complex, but I like it, while it helps me to explain the problem to others. #p #xfb
729952017125392385	2016-05-10 08:31:37	davidpiprof	Working and my wife disturbs me with her research about bicycles. I don't want to choose right away I need to read about it first. #n #xfb
729963576664920064	2016-05-10 09:17:33	davidpiprof	Finishing drawing and looking forward for lunch. I need to rewrite text in document to be aligned with picture and it's finished. #p #xfb
729974837104521217	2016-05-10 10:02:18	davidpiprof	And now after really good lunch I want to sleep or at least rest for a while and have something sweet like blueberry muffin. #p #xfb
729984834265812992	2016-05-10 10:42:01	davidpiprof	Returning to work through discussion with colleague of his problem and meanwhile responding to questions about living in Swiss. #p #xfb
729997630550491137	2016-05-10 11:32:52	davidpiprof	Passionate discussion about really interesting work topic inside team. Conclusion is known, but discussion is going on and on. #p #xfb
730010896962048000	2016-05-10 12:25:35	davidpiprof	Almost forgotten to write my tweet during discussion with colleague of mine. But besides that I solved with him one more problem. #p #xfb
730020612731764736	2016-05-10 13:04:11	davidpiprof	Starting to get tired today already. It's too much things which I need to focus on, discuss, handle, take care of. Better be 5 pm. #n #xfb
730031808365117440	2016-05-10 13:48:41	davidpiprof	Little break and few minutes of walk help to refresh my mind, I am back on the track again and ready for meeting in next 15 minutes #p #xfb
730045941143748608	2016-05-10 14:44:50	davidpiprof	When the team leader tells you at the beginning of your presentation: it's bullshit. There are no arguments. Except it was good joke #p #xfb
730054263397859328	2016-05-10 15:17:54	davidpiprof	Meeting ends with funny topics. It's time to close it and go home. Finally. But there is still lot of to do on the table. #p #xfb
730066226093957120	2016-05-10 16:05:26	davidpiprof	Leaving home. What a relief. I need to enjoy the sunny weather and the family. There is expecting me the good meet for grill. #p #xfb
730077825802326017	2016-05-10 16:51:32	davidpiprof	Back at home. Going to prepare grill and relax. It's nice to do nothing and just sit and have clear mind and no chaos around. #p #xfb
730088447206117376	2016-05-10 17:33:44	davidpiprof	Enjoying dinner with my wife on balcony with kids on the grass outside. I have delicious black Angus steak and chicken pieces. #p #xfb
730102187985080321	2016-05-10 18:28:20	davidpiprof	I smell by smoke from grill so I need to go to the shower before I will go to bed watch some series or work. #n #xfb
730110629302939648	2016-05-10 19:01:53	davidpiprof	Choose a bike is not easy I am little bit in depression what parameters to care about and what brand to choose I need to take a time #n #xfb
